Gene Name,SynH_Exp_BXHU,SynH_Stat1_CUOC,log2change,counts_change,binned,Threshold where |count difference| is,Threshold of 2^n where n is
yiiR,154,406,1.3985493764902748,252,Unchanged,100000,3
yiiQ,930,718,-0.3732468721723423,-212,Unchanged,100000,3
tpiA,23875,4031,-2.566291044846756,-19844,Unchanged,100000,3
cdh,263,737,1.4866018198027673,474,Unchanged,100000,3
sbp,188,1385,2.8810814092589134,1197,Unchanged,100000,3
pfkA,23466,6406,-1.873076238679418,-17060,Unchanged,100000,3
fieF,1262,1614,0.3549286682952314,352,Unchanged,100000,3
cpxR,3536,1738,-1.0246901925770315,-1798,Unchanged,100000,3
cpxA,5040,3645,-0.4675049191729794,-1395,Unchanged,100000,3
yiiM,550,882,0.6813470371454985,332,Unchanged,100000,3
kdgT,125,1308,3.3873625408359955,1183,Upregulated,100000,3
sodA,141,699,2.3095972929766426,558,Unchanged,100000,3
rhaT,82,1367,4.059245522987976,1285,Upregulated,100000,3
rhaR,66,853,3.6920078119598365,787,Upregulated,100000,3
rhaS,56,951,4.085946608802959,895,Upregulated,100000,3
rhaB,29,1677,5.853685978436774,1648,Upregulated,100000,3
rhaA,52,1817,5.1269029860930235,1765,Upregulated,100000,3
rhaD,20,1098,5.778734244117836,1078,Upregulated,100000,3
rhaM,6,192,5.0,186,Upregulated,100000,3
frvA,4,396,6.6293566200796095,392,Upregulated,100000,3
frvB,43,1811,5.39630607624807,1768,Upregulated,100000,3
frvX,155,1366,3.139617363015853,1211,Upregulated,100000,3
frvR,66,1954,4.887820632609932,1888,Upregulated,100000,3
yiiG,38,1003,4.7221783771685955,965,Upregulated,100000,3
fdhD,786,1084,0.4637635390952651,298,Unchanged,100000,3
fdoG,2541,8206,1.6912827788391802,5665,Unchanged,100000,3
fdoH,474,1652,1.8012547225211863,1178,Unchanged,100000,3
fdoI,222,822,1.888578717331577,600,Unchanged,100000,3
fdhE,1278,1682,0.3962898693081497,404,Unchanged,100000,3
yiiF,26,65,1.3219280948873624,39,Unchanged,100000,3
yiiE,2,97,5.599912842187128,95,Upregulated,100000,3
fabY,2113,1982,-0.09233580474845246,-131,Unchanged,100000,3
dtd,706,729,0.046250631055756906,23,Unchanged,100000,3
yihY,840,1367,0.7025520099399374,527,Unchanged,100000,3
yihX,974,1073,0.13965639867417973,99,Unchanged,100000,3
csqR,594,1412,1.2492052524704145,818,Unchanged,100000,3
yihV,218,1613,2.887346398378716,1395,Unchanged,100000,3
